uid	name	gender	screentime	sids
ch0158527	Jaime Lannister	male	23570	s00016, s00020, s00022, s00030, s00035, s00038, s00040, s00068, s00080, s00082, s00110, s00147, s00167, s00251, s00264, s00304, s00520, s00521, s00526, s00527, s00528, s00531, s00542, s00715, s00716, s00813, s00814, s00851, s00852, s00857, s00889, s00890, s00891, s00892, s00893, s00894, s00895, s00914, s00915, s00951, s00952, s00969, s00995, s01038, s01039, s01040, s01047, s01048, s01049, s01050, s01051, s01052, s01053, s01054, s01215, s01216, s01217, s01225, s01247, s01248, s01249, s01260, s01261, s01268, s01269, s01281, s01282, s01283, s01317, s01319, s01323, s01341, s01346, s01348, s01349, s01350, s01352, s01354, s01358, s01360, s01361, s01377, s01378, s01379, s01429, s01430, s01439, s01442, s01443, s01461, s01465, s01468, s01537, s01538, s01539, s01540, s01541, s01542, s01543, s01544, s01545, s01546, s01547, s01548, s01549, s01603, s01605, s01607, s01608, s01609, s01708, s01731, s01744, s01797, s01799, s01800, s01890, s01891, s01915, s01916, s01917, s01918, s01919, s02005, s02006, s02008, s02009, s02010, s02011, s02055, s02056, s02152, s02153, s02156, s02168, s02223, s02224, s02267, s02268, s02313, s02314, s02315, s02355, s02356, s02358, s02359, s02401, s02509, s02552, s02554, s02555, s02556, s02557, s02558, s02561, s02582, s02583, s02584, s02586, s02587, s02588, s02591, s02592, s02626, s02628, s02638, s02639, s02644, s02647, s02653, s02654, s02793, s02794, s02795, s02796, s02821, s02822, s02840, s02842, s02843, s02871, s02872, s02873, s02874, s02939, s02942, s02943, s02944, s02945, s02970, s02971, s02973, s02974, s02976, s02977, s02978, s03012, s03013, s03014, s03015, s03016, s03018, s03019, s03023, s03025, s03030, s03032, s03033, s03035, s03036, s03045, s03046, s03054, s03055, s03056, s03057, s03058, s03059, s03060, s03061, s03062, s03068, s03069, s03088, s03089, s03090, s03094, s03095, s03192, s03197, s03199, s03201, s03203, s03209, s03219, s03220, s03221, s03222, s03223, s03224, s03227, s03231, s03242, s03243, s03244, s03245, s03246, s03377, s03378, s03379, s03380, s03381, s03382, s03383, s03384, s03385, s03390, s03392, s03393, s03394, s03395, s03396, s03398, s03399, s03418, s03427, s03428, s03429, s03436, s03439, s03465, s03483, s03510, s03516, s03541, s03544, s03554, s03562, s03564, s03567, s03572, s03582, s03637, s03644, s03646, s03648, s03687, s03701, s03708, s03715, s03729, s03733, s03745, s03746, s03747, s03748, s03753, s03756, s03759, s03761, s03768, s03770, s03773, s03776, s03777, s03786, s03788, s03792, s03793, s03794, s03831, s03833, s03834, s03835, s03836, s03884, s03885, s03886, s03894, s03896, s03907, s03950, s03962, s04018, s04019, s04023, s04025, s04036, s04070, s04082
ch0158596	Robb Stark	male	7721	s00013, s00014, s00015, s00019, s00030, s00034, s00043, s00048, s00052, s00073, s00094, s00152, s00153, s00205, s00215, s00216, s00220, s00221, s00224, s00226, s00230, s00237, s00250, s00251, s00260, s00263, s00304, s00307, s00308, s00309, s00378, s00379, s00381, s00383, s00481, s00482, s00483, s00484, s00486, s00507, s00508, s00509, s00538, s00539, s00540, s00561, s00562, s00563, s00717, s00725, s00777, s00778, s00780, s00805, s00809, s00810, s00811, s00826, s00853, s00854, s00959, s00960, s00961, s00962, s00976, s00993, s00994, s01011, s01012, s01013, s01106, s01108, s01142, s01149, s01151, s01152, s01153, s01154, s01155, s01157, s01158, s01164, s01165, s01173, s01174, s01175, s01180, s02509
ch0158597	Daenerys Targaryen	female	31667	s00024, s00025, s00026, s00032, s00033, s00036, s00046, s00049, s00054, s00055, s00083, s00086, s00089, s00097, s00098, s00114, s00116, s00149, s00156, s00166, s00176, s00177, s00179, s00186, s00187, s00213, s00214, s00240, s00243, s00268, s00269, s00270, s00274, s00275, s00284, s00285, s00295, s00296, s00325, s00394, s00403, s00431, s00432, s00433, s00434, s00435, s00436, s00437, s00444, s00445, s00446, s00474, s00475, s00492, s00493, s00504, s00511, s00523, s00524, s00569, s00570, s00726, s00727, s00729, s00738, s00739, s00740, s00741, s00742, s00745, s00746, s00747, s00748, s00749, s00786, s00787, s00788, s00800, s00801, s00802, s00803, s00873, s00874, s00875, s00876, s00877, s00878, s00879, s00936, s00937, s00938, s00939, s00940, s00942, s00943, s00972, s00973, s00974, s01021, s01026, s01027, s01028, s01059, s01060, s01061, s01096, s01097, s01098, s01099, s01110, s01111, s01146, s01147, s01148, s01219, s01220, s01221, s01222, s01223, s01235, s01236, s01237, s01238, s01239, s01240, s01263, s01264, s01265, s01266, s01267, s01406, s01407, s01408, s01409, s01411, s01412, s01413, s01414, s01416, s01418, s01424, s01425, s01426, s01428, s01471, s01472, s01531, s01532, s01533, s01560, s01563, s01582, s01594, s01709, s01710, s01711, s01712, s01713, s01750, s01773, s01774, s01775, s01776, s01809, s01810, s01827, s01828, s01829, s01830, s01831, s01832, s01833, s01923, s01924, s01925, s01927, s01929, s01931, s01941, s01942, s01943, s01944, s01945, s01979, s01980, s02050, s02061, s02063, s02064, s02066, s02073, s02086, s02172, s02173, s02174, s02175, s02176, s02178, s02179, s02180, s02181, s02182, s02183, s02184, s02231, s02232, s02284, s02286, s02287, s02347, s02348, s02349, s02350, s02393, s02394, s02410, s02411, s02413, s02415, s02416, s02418, s02419, s02420, s02452, s02453, s02507, s02563, s02565, s02657, s02667, s02668, s02669, s02670, s02672, s02673, s02676, s02691, s02809, s02810, s02824, s02861, s02862, s02863, s02864, s02865, s02867, s02868, s02878, s02879, s02932, s02933, s02934, s02948, s02949, s02950, s02961, s02965, s02993, s02994, s02995, s02996, s02997, s02998, s02999, s03000, s03001, s03002, s03003, s03019, s03027, s03029, s03030, s03031, s03039, s03040, s03046, s03047, s03048, s03049, s03051, s03052, s03053, s03054, s03056, s03057, s03058, s03066, s03067, s03070, s03071, s03072, s03073, s03084, s03099, s03100, s03130, s03156, s03159, s03161, s03162, s03163, s03164, s03165, s03176, s03177, s03179, s03181, s03183, s03187, s03221, s03222, s03223, s03224, s03225, s03229, s03230, s03231, s03235, s03254, s03257, s03298, s03299, s03305, s03306, s03309, s03312, s03313, s03314, s03315, s03316, s03317, s03318, s03347, s03349, s03351, s03352, s03353, s03356, s03357, s03358, s03359, s03366, s03367, s03380, s03381, s03382, s03383, s03386, s03400, s03401, s03402, s03403, s03404, s03418, s03419, s03420, s03445, s03446, s03447, s03474, s03504, s03509, s03531, s03545, s03546, s03549, s03550, s03552, s03556, s03570, s03578, s03599, s03613, s03662, s03663, s03664, s03679, s03680, s03682, s03684, s03685, s03697, s03698, s03699, s03700, s03704, s03709, s03714, s03721, s03731, s03736, s03737, s03741, s03744, s03745, s03746, s03747, s03748, s03752, s03753, s03754, s03756, s03757, s03758, s03761, s03767, s03768, s03771, s03772, s03773, s03774, s03775, s03787, s03789, s03797, s03798, s03800, s03811, s03812, s03813, s03814, s03815, s03816, s03817, s03829, s03838, s03840, s03842, s03843, s03844, s03847, s03849, s03851, s03852, s03853, s03862, s03866, s03867, s03868, s03869, s03870, s03871, s03872, s03873, s03913, s03916, s03917, s03918, s03920, s03922, s03924, s03926, s03928, s03933, s03935, s03937, s03941, s03943, s03945, s03952, s03954, s03956, s03964, s03965, s03967, s03968, s03970, s03976, s03978, s03980, s03982, s03984, s03986, s03988, s03996, s03998, s04000, s04002, s04007, s04011, s04013, s04015, s04017, s04021, s04027, s04033, s04039, s04059, s04063, s04065, s04068, s04089, s04091, s04092, s04093, s04094, s04095, s04096, s04097, s04098, s04099, s04100, s04102, s04104, s04111, s04112, s04113, s04114, s04115
ch0158604	Arya Stark	female	24287	s00013, s00020, s00030, s00041, s00057, s00058, s00060, s00067, s00071, s00072, s00091, s00103, s00117, s00128, s00130, s00132, s00133, s00134, s00155, s00165, s00192, s00194, s00197, s00198, s00200, s00252, s00253, s00254, s00255, s00279, s00280, s00281, s00315, s00316, s00317, s00318, s00333, s00334, s00372, s00373, s00374, s00375, s00376, s00395, s00396, s00397, s00399, s00400, s00401, s00405, s00424, s00425, s00426, s00447, s00455, s00456, s00476, s00477, s00478, s00479, s00501, s00502, s00543, s00544, s00545, s00546, s00547, s00552, s00553, s00564, s00730, s00731, s00732, s00733, s00837, s00838, s00849, s00850, s00858, s00859, s00860, s00861, s00933, s00934, s00935, s00945, s00946, s00950, s00957, s00963, s00964, s00987, s00988, s00990, s01032, s01033, s01034, s01036, s01037, s01056, s01057, s01113, s01120, s01161, s01162, s01169, s01170, s01171, s01179, s01180, s01181, s01204, s01272, s01273, s01274, s01275, s01276, s01277, s01278, s01279, s01380, s01381, s01382, s01383, s01384, s01479, s01483, s01484, s01551, s01552, s01553, s01554, s01555, s01564, s01599, s01600, s01726, s01727, s01729, s01730, s01738, s01739, s01740, s01788, s01789, s01790, s01791, s01821, s01822, s01823, s01824, s01834, s01835, s01836, s01851, s01852, s01853, s01854, s01855, s01856, s01857, s01988, s01989, s01990, s01992, s01993, s01994, s01995, s01996, s02076, s02077, s02078, s02079, s02080, s02157, s02158, s02159, s02160, s02161, s02162, s02163, s02164, s02165, s02166, s02219, s02220, s02221, s02222, s02288, s02289, s02321, s02322, s02323, s02361, s02362, s02363, s02364, s02365, s02423, s02424, s02425, s02426, s02427, s02428, s02532, s02533, s02534, s02536, s02538, s02539, s02540, s02542, s02543, s02544, s02545, s02547, s02548, s02549, s02551, s02604, s02605, s02606, s02608, s02615, s02660, s02662, s02663, s02665, s02812, s02828, s02852, s02886, s02887, s02888, s02898, s02899, s02900, s02983, s02984, s02985, s02988, s02989, s02990, s02992, s03005, s03007, s03085, s03086, s03104, s03105, s03106, s03107, s03108, s03109, s03120, s03121, s03185, s03241, s03260, s03296, s03299, s03300, s03301, s03302, s03307, s03326, s03362, s03363, s03389, s03418, s03430, s03431, s03432, s03433, s03434, s03435, s03442, s03459, s03460, s03475, s03481, s03493, s03500, s03501, s03520, s03549, s03553, s03588, s03601, s03618, s03629, s03633, s03635, s03654, s03655, s03658, s03660, s03665, s03666, s03667, s03670, s03671, s03672, s03727, s03735, s03744, s03745, s03746, s03747, s03748, s03749, s03753, s03785, s03789, s03790, s03796, s03881, s03882, s03893, s03904, s04028, s04029, s04038, s04039, s04040, s04042, s04044, s04046, s04048, s04050, s04052, s04054, s04055, s04066, s04067, s04068, s04069, s04071, s04072, s04073, s04083, s04084, s04086, s04095, s04101, s04102, s04103, s04104, s04119, s04120, s04121, s04130, s04140, s04142, s04146, s04149, s04152, s04155, s04158, s04161
ch0159526	Cersei Lannister	female	25748	s00016, s00020, s00028, s00030, s00035, s00038, s00039, s00060, s00070, s00080, s00117, s00118, s00144, s00148, s00168, s00174, s00191, s00204, s00228, s00253, s00261, s00265, s00289, s00290, s00306, s00310, s00320, s00321, s00342, s00359, s00366, s00414, s00460, s00462, s00463, s00464, s00466, s00519, s00529, s00554, s00555, s00556, s00557, s00558, s00559, s00581, s00600, s00601, s00602, s00603, s00604, s00633, s00634, s00635, s00636, s00662, s00663, s00664, s00665, s00681, s00691, s00696, s00698, s00702, s00703, s00708, s00711, s00712, s00770, s00771, s00799, s00815, s00816, s00817, s00855, s00906, s00907, s00909, s00910, s00916, s00953, s00981, s00999, s01072, s01073, s01074, s01077, s01079, s01080, s01081, s01082, s01087, s01185, s01202, s01203, s01217, s01247, s01248, s01249, s01290, s01291, s01292, s01294, s01296, s01316, s01317, s01319, s01323, s01332, s01335, s01336, s01342, s01344, s01346, s01347, s01348, s01349, s01350, s01351, s01353, s01354, s01355, s01356, s01357, s01358, s01360, s01361, s01362, s01363, s01365, s01374, s01375, s01376, s01377, s01378, s01379, s01439, s01461, s01462, s01463, s01464, s01465, s01466, s01467, s01468, s01469, s01470, s01478, s01485, s01534, s01535, s01538, s01539, s01540, s01541, s01542, s01543, s01544, s01546, s01547, s01548, s01550, s01605, s01607, s01608, s01609, s01704, s01705, s01707, s01708, s01741, s01742, s01743, s01744, s01762, s01763, s01764, s01765, s01766, s01797, s01812, s01813, s01838, s01839, s01841, s01842, s01867, s01868, s01869, s01871, s01892, s01893, s01894, s01895, s01902, s02001, s02017, s02018, s02019, s02054, s02067, s02068, s02069, s02070, s02071, s02072, s02075, s02082, s02083, s02089, s02090, s02233, s02234, s02235, s02236, s02237, s02238, s02239, s02240, s02241, s02265, s02266, s02267, s02268, s02310, s02311, s02312, s02316, s02355, s02356, s02358, s02359, s02399, s02400, s02401, s02561, s02580, s02623, s02624, s02630, s02631, s02632, s02633, s02634, s02737, s02742, s02744, s02748, s02750, s02752, s02754, s02756, s02770, s02787, s02789, s02790, s02797, s02822, s02839, s02840, s02842, s02843, s02871, s02872, s02877, s02939, s02940, s02943, s02944, s02945, s02946, s02979, s03069, s03094, s03095, s03209, s03219, s03220, s03221, s03222, s03223, s03224, s03228, s03231, s03242, s03243, s03244, s03245, s03327, s03330, s03331, s03337, s03827, s03828, s03839, s03840, s03842, s03843, s03847, s03849, s03850, s03851, s03852, s03853, s03901, s03902, s03908, s03940, s03944, s03945, s03946, s03951, s03961, s03965, s03969, s03971, s03974, s03981, s03999, s04011, s04012, s04014, s04016, s04020, s04024, s04030, s04031, s04032, s04035, s04036, s04070, s04082
ch0162882	Sandor Clegane	male	13888	s00020, s00034, s00037, s00056, s00061, s00117, s00124, s00191, s00199, s00228, s00253, s00254, s00261, s00262, s00286, s00288, s00384, s00385, s00387, s00460, s00462, s00463, s00464, s00471, s00473, s00503, s00518, s00583, s00591, s00593, s00596, s00598, s00606, s00614, s00622, s00628, s00639, s00641, s00659, s00661, s00666, s00671, s00672, s00684, s00850, s00859, s00934, s00935, s00945, s00946, s00950, s01037, s01056, s01057, s01113, s01120, s01161, s01162, s01163, s01171, s01179, s01180, s01181, s01204, s01272, s01273, s01274, s01275, s01276, s01277, s01279, s01380, s01381, s01382, s01383, s01384, s01479, s01482, s01484, s01551, s01552, s01553, s01554, s01555, s01564, s01599, s01600, s01727, s01728, s01730, s02568, s02569, s02573, s02601, s02602, s02603, s02609, s02610, s02611, s02612, s02617, s02618, s02619, s02658, s02659, s02853, s02854, s02855, s02856, s02857, s03112, s03113, s03114, s03116, s03117, s03118, s03122, s03123, s03124, s03125, s03129, s03131, s03132, s03133, s03135, s03137, s03141, s03142, s03143, s03146, s03151, s03152, s03153, s03157, s03158, s03159, s03161, s03162, s03163, s03164, s03165, s03174, s03207, s03210, s03211, s03214, s03215, s03216, s03217, s03218, s03219, s03223, s03224, s03225, s03230, s03231, s03301, s03302, s03361, s03362, s03430, s03431, s03467, s03512, s03528, s03529, s03535, s03539, s03542, s03563, s03586, s03588, s03594, s03605, s03611, s03612, s03620, s03653, s03655, s03660, s03669, s03670, s03671, s03672, s03738, s03747, s03748, s03753, s03755, s03756, s03763, s03780, s03781, s03782, s03783, s03795, s03796, s03881, s03882, s03893, s03904, s04028, s04031, s04032, s04033, s04034, s04037, s04041, s04043, s04045, s04047, s04049, s04051, s04053, s04056, s04057
ch0171388	Khal Drogo	male	3575	s00025, s00032, s00033, s00036, s00046, s00055, s00083, s00089, s00097, s00156, s00166, s00176, s00186, s00187, s00214, s00240, s00243, s00269, s00274, s00275, s00284, s00741
ch0171390	Waymar Royce	male	306	s00000, s00001, s00005, s00007, s00009
ch0171391	Rodrik Cassel	male	3769	s00013, s00014, s00015, s00020, s00028, s00030, s00052, s00074, s00081, s00119, s00125, s00136, s00159, s00162, s00219, s00220, s00224, s00226, s00230, s00237, s00249, s00250, s00251, s00263, s00307, s00441, s00453, s02294, s02295, s02470, s02474
ch0171393	Maester Luwin	male	2916	s00018, s00020, s00031, s00048, s00052, s00094, s00126, s00170, s00205, s00259, s00291, s00350, s00352, s00440, s00441, s00448, s00451, s00453, s00497, s00510, s00532, s00572, s00573, s00574, s00575, s00719, s00721, s00735, s00736
ch0171394	Will	male	763	s00000, s00001, s00002, s00003, s00005, s00006, s00008, s00010, s00011, s00012, s00013, s00014
ch0171395	Gared	male	362	s00000, s00001, s00005, s00007, s00009, s00012
ch0172909	Illyrio Mopatis	male	654	s00025, s00026, s00032, s00130
ch0229099	Mord	male	493	s00142, s00154, s00158, s00162
ch0231428	Loras Tyrell	male	4354	s00124, s00143, s00353, s00364, s00392, s00402, s00412, s00695, s00703, s00708, s00711, s00712, s00799, s00819, s00820, s00821, s00977, s00978, s00998, s01072, s01074, s01079, s01086, s01087, s01321, s01323, s01345, s01346, s01354, s01355, s01538, s01541, s01542, s01546, s01547, s01548, s01762, s01767, s01768, s01769, s01839, s01900, s02018, s02019, s02398, s02739, s02747, s02751, s02768, s02775, s02777, s02779, s02781, s02783, s02785
ch0232836	Grand Maester Pycelle	male	6455	s00069, s00076, s00101, s00102, s00124, s00138, s00161, s00174, s00175, s00204, s00228, s00253, s00276, s00277, s00289, s00320, s00321, s00361, s00370, s00581, s00709, s00710, s00711, s00712, s00855, s01074, s01077, s01085, s01092, s01185, s01291, s01292, s01294, s01296, s01317, s01319, s01321, s01323, s01344, s01351, s01355, s01461, s01462, s01534, s01535, s01541, s01608, s01609, s01704, s01763, s01813, s01839, s01867, s01892, s01893, s01894, s02240, s02241, s02357, s02358, s02359, s02399, s02631, s02632, s02633, s02745, s02746, s02758, s02760, s02762, s02764, s02766
ch0233141	Rickon Stark	male	2770	s00013, s00020, s00216, s00258, s00440, s00441, s00451, s00453, s00491, s00498, s00575, s00734, s00735, s00737, s00808, s00844, s00983, s01046, s01114, s01121, s01123, s01125, s01133, s01143, s01144, s02368, s02369, s02697, s02698, s02699, s02700, s02701, s02702, s02734
ch0234897	Bran Stark	male	14346	s00013, s00014, s00015, s00020, s00034, s00035, s00039, s00042, s00048, s00053, s00062, s00064, s00066, s00073, s00092, s00093, s00094, s00126, s00150, s00151, s00152, s00153, s00215, s00216, s00217, s00256, s00257, s00258, s00259, s00291, s00293, s00294, s00351, s00352, s00440, s00441, s00442, s00449, s00450, s00451, s00452, s00453, s00491, s00498, s00575, s00734, s00735, s00737, s00804, s00805, s00806, s00807, s00808, s00833, s00834, s00835, s00836, s00844, s00846, s00847, s00848, s00901, s00902, s00903, s00983, s01046, s01114, s01121, s01123, s01125, s01129, s01133, s01143, s01189, s01190, s01193, s01194, s01198, s01309, s01310, s01311, s01312, s01313, s01314, s01452, s01454, s01455, s01456, s01458, s01489, s01490, s01491, s01493, s01494, s01496, s01498, s01500, s01501, s01502, s01503, s01719, s01720, s01721, s01722, s01723, s01724, s02293, s02294, s02295, s02296, s02297, s02298, s02299, s02300, s02343, s02344, s02345, s02346, s02429, s02430, s02431, s02432, s02433, s02434, s02436, s02437, s02438, s02439, s02456, s02457, s02458, s02459, s02466, s02469, s02470, s02471, s02473, s02474, s02475, s02476, s02477, s02478, s02479, s02481, s02483, s02485, s02487, s02488, s02490, s02491, s02492, s02493, s02495, s02496, s02501, s02506, s02507, s02508, s02509, s02510, s02511, s02515, s02516, s02517, s02562, s02814, s02815, s02816, s02817, s02818, s02830, s02831, s02956, s02957, s02980, s02981, s02982, s02989, s02990, s02992, s03074, s03080, s03241, s03250, s03251, s03252, s03256, s03261, s03312, s03313, s03314, s03315, s03317, s03318, s03324, s03369, s03379, s03380, s03381, s03382, s03383, s03384, s03385, s03390, s03418, s03419, s03420, s03421, s03453, s03455, s03557, s03579, s03580, s03623, s03673, s03676, s03677, s03695, s03703, s03712, s03717, s03718, s03720, s03722, s03724, s03726, s03727, s03735, s03744, s03745, s03746, s03747, s03748, s03753, s03754, s03756, s03758, s03761, s03764, s03765, s03789, s03790, s04119, s04120, s04121, s04130, s04134, s04135
ch0238584	Hodor	male	4967	s00020, s00093, s00094, s00151, s00217, s00257, s00294, s00350, s00351, s00440, s00441, s00442, s00451, s00452, s00453, s00491, s00498, s00575, s00734, s00735, s00737, s00808, s00844, s00846, s00847, s00848, s00983, s01046, s01114, s01121, s01123, s01125, s01143, s01189, s01190, s01193, s01194, s01198, s01309, s01310, s01311, s01312, s01314, s01452, s01454, s01455, s01456, s01457, s01489, s01493, s01494, s01496, s01498, s01500, s01501, s01503, s01719, s01720, s01721, s01722, s01723, s01724, s02296, s02297, s02299, s02300, s02456, s02459, s02466, s02469, s02471, s02473, s02474, s02475, s02477, s02478, s02479, s02481, s02488, s02490, s02491, s02492, s02493, s02494, s02495, s02496, s02497, s02498, s02499, s02500, s02501, s02502, s02503, s02504, s02505
ch0238585	Myrcella Baratheon	female	2488	s00020, s00038, s00117, s00124, s00288, s00359, s00413, s00460, s01801, s01803, s02002, s02003, s02009, s02010, s02011, s02055, s02056, s02152, s02153, s02156, s02223, s02224, s02313, s02314, s02315
ch0241345	Bronn	male	9353	s00119, s00125, s00136, s00159, s00162, s00208, s00209, s00222, s00223, s00242, s00244, s00245, s00246, s00247, s00248, s00288, s00331, s00332, s00369, s00370, s00385, s00386, s00415, s00418, s00419, s00430, s00549, s00550, s00582, s00583, s00589, s00617, s00619, s00624, s00666, s00768, s00769, s00771, s00772, s00773, s00882, s00883, s00884, s00885, s00886, s01019, s01074, s01226, s01227, s01231, s01232, s01233, s01283, s01300, s01330, s01429, s01443, s01559, s01798, s01799, s01800, s01891, s01915, s01916, s01917, s01918, s01919, s02005, s02006, s02008, s02009, s02010, s02011, s02057, s02154, s02155, s02156, s02223, s02582, s02583, s02584, s02586, s02587, s02588, s02627, s02794, s02795, s02821, s02971, s02977, s02978, s03012, s03013, s03014, s03015, s03016, s03018, s03019, s03030, s03032, s03037, s03038, s03047, s03048, s03049, s03051, s03052, s03058, s03059, s03061, s03088, s03089, s03194, s03196, s03197, s03199, s03201, s03203, s03211, s03212, s03215, s03217, s03332, s03333, s03334, s03335, s03336, s03793, s04133, s04134, s04135, s04136
ch0241346	Barristan Selmy	male	6577	s00082, s00117, s00121, s00122, s00124, s00160, s00174, s00175, s00191, s00228, s00802, s00803, s00873, s00874, s00875, s00876, s00877, s00879, s00936, s00937, s00938, s00940, s00942, s00973, s00975, s01021, s01026, s01027, s01059, s01060, s01061, s01110, s01111, s01146, s01147, s01148, s01219, s01220, s01221, s01238, s01267, s01406, s01407, s01408, s01409, s01411, s01412, s01414, s01416, s01418, s01424, s01425, s01426, s01471, s01531, s01532, s01533, s01592, s01593, s01594, s01709, s01710, s01711, s01750, s01773, s01809, s01810, s01827, s01828, s01829, s01830, s01831, s01923, s01924, s01935, s01939, s01941
ch0242185	Tywin Lannister	male	8597	s00167, s00223, s00241, s00248, s00266, s00267, s00405, s00424, s00455, s00456, s00476, s00480, s00501, s00502, s00543, s00546, s00708, s00711, s00781, s00855, s00916, s00981, s00996, s01020, s01074, s01077, s01079, s01080, s01084, s01085, s01091, s01185, s01186, s01187, s01224, s01225, s01290, s01291, s01292, s01294, s01296, s01316, s01317, s01319, s01322, s01323, s01327, s01328, s01329, s01348, s01353, s01354, s01355, s01356, s01357, s01358, s01360, s01361, s01363, s01365, s01374, s01375, s01376, s01377, s01395, s01396, s01461, s01462, s01463, s01465, s01468, s01478, s01535, s01538, s01539, s01540, s01541, s01542, s01543, s01544, s01545, s01546, s01547, s01548, s01605, s01607, s01608, s01609, s01707, s01735, s01744
ch0244961	Samwell Tarly	male	16087	s00096, s00104, s00113, s00115, s00171, s00172, s00180, s00181, s00184, s00185, s00202, s00210, s00218, s00235, s00271, s00273, s00297, s00298, s00322, s00323, s00324, s00348, s00349, s00427, s00429, s00443, s00551, s00750, s00751, s00752, s00755, s00756, s00757, s00758, s00759, s00760, s00830, s00831, s00832, s00865, s00867, s00868, s00869, s00900, s00922, s00923, s00925, s00926, s00927, s00928, s00929, s00931, s00982, s01101, s01102, s01103, s01104, s01105, s01112, s01194, s01198, s01207, s01213, s01253, s01254, s01385, s01386, s01387, s01390, s01391, s01392, s01444, s01445, s01556, s01557, s01558, s01580, s01610, s01614, s01615, s01622, s01623, s01624, s01635, s01637, s01650, s01661, s01662, s01663, s01664, s01673, s01681, s01682, s01683, s01692, s01693, s01694, s01695, s01715, s01752, s01753, s01779, s01781, s01783, s01784, s01814, s01815, s01818, s01819, s01820, s01860, s01861, s01909, s01910, s01946, s01947, s01950, s01968, s01969, s01970, s01974, s02028, s02030, s02036, s02037, s02044, s02045, s02046, s02047, s02091, s02092, s02093, s02145, s02146, s02147, s02190, s02191, s02342, s02519, s02521, s02522, s02526, s02527, s02528, s02529, s02531, s02798, s02799, s02800, s02801, s02844, s02845, s02846, s02859, s02860, s02875, s02876, s02882, s02884, s02958, s02959, s02960, s03081, s03101, s03102, s03103, s03249, s03251, s03367, s03368, s03369, s03371, s03411, s03412, s03418, s03425, s03426, s03437, s03438, s03440, s03449, s03450, s03451, s03468, s03486, s03518, s03526, s03528, s03533, s03548, s03566, s03567, s03568, s03575, s03637, s03645, s03646, s03649, s03687, s03701, s03708, s03715, s03729, s03733, s03743, s03744, s03745, s03746, s03747, s03748, s03750, s03753, s03756, s03757, s03768, s03805, s03806, s03807, s04119, s04120, s04121, s04133, s04134, s04135, s04136
ch0245400	Jory Cassel	male	1996	s00014, s00015, s00020, s00059, s00060, s00067, s00081, s00106, s00107, s00109, s00110, s00118, s00129, s00133, s00134, s00140, s00146, s00147
ch0245401	Gregor Clegane	male	6026	s00117, s00124, s00399, s00404, s00405, s00501, s00543, s01550, s01607, s01608, s01609, s01704, s01705, s01706, s01871, s01872, s02241, s02267, s02309, s02311, s02312, s02355, s02356, s02358, s02359, s02580, s02623, s02624, s02630, s02631, s02632, s02633, s02634, s02749, s02788, s02790, s02822, s02842, s02843, s02871, s02872, s02939, s02940, s03209, s03219, s03220, s03221, s03222, s03223, s03224, s03226, s03227, s03228, s03231, s03242, s03243, s03245, s03327, s03330, s03331, s03828, s03839, s03840, s03842, s03843, s03847, s03849, s03850, s03851, s03852, s03853, s03902, s03944, s03945, s03946, s04016, s04024, s04030, s04031, s04032, s04033, s04034, s04037, s04043, s04045, s04047, s04049, s04051, s04053, s04056, s04057
ch0245982	Petyr Baelish	male	12838	s00069, s00074, s00076, s00077, s00079, s00101, s00105, s00117, s00124, s00131, s00138, s00140, s00146, s00147, s00161, s00169, s00183, s00189, s00190, s00191, s00204, s00228, s00253, s00278, s00289, s00306, s00320, s00321, s00328, s00329, s00363, s00369, s00390, s00391, s00392, s00393, s00398, s00411, s00412, s00456, s00711, s00712, s00713, s00783, s00784, s00785, s00855, s00880, s00881, s00953, s00979, s00980, s01003, s01369, s01370, s01371, s01372, s01431, s01473, s01474, s01475, s01476, s01572, s01573, s01575, s01589, s01590, s01591, s01598, s01601, s01602, s01757, s01758, s01760, s01793, s01794, s01846, s01858, s01874, s01875, s01876, s01877, s01914, s02000, s02001, s02058, s02059, s02383, s02384, s02385, s02422, s02721, s02723, s02813, s02819, s02820, s02833, s02834, s02848, s02849, s02850, s02851, s02890, s02892, s02897, s02952, s02953, s02954, s02980, s02981, s02992, s03006, s03007, s03104, s03105, s03106, s03107, s03109, s03134, s03233, s03241
ch0246162	Qotho	male	1587	s00025, s00032, s00166, s00187, s00214, s00240, s00243
ch0246253	Renly Baratheon	male	3391	s00069, s00101, s00117, s00124, s00131, s00138, s00143, s00160, s00173, s00174, s00175, s00182, s00353, s00354, s00364, s00365, s00390, s00391, s00402, s00410, s00412
ch0246254	Ilyn Payne	male	1096	s00056, s00060, s00253, s00254, s00261, s00600, s00601, s00602, s00603, s00665, s00682, s02507
ch0246933	Meryn Trant	male	2789	s00197, s00228, s00261, s00262, s00286, s00288, s00384, s00385, s00461, s00462, s00463, s00464, s00465, s00468, s00470, s00473, s00771, s00791, s00796, s01260, s01335, s01344, s01346, s01354, s01361, s01362, s01540, s01743, s01812, s01868, s01869, s01893, s02159, s02160, s02161, s02162, s02163, s02164, s02165, s02217, s02218, s02219
ch0246934	Syrio Forel	male	493	s00091, s00155, s00192, s00194, s00197
ch0246936	Maester Aemon	male	2081	s00088, s00180, s00239, s01207, s01255, s01256, s01403, s01614, s01714, s01715, s01819, s01820, s01946, s01947, s01948, s02030, s02036, s02037
