#sid	uid	name	killed
s00024	ch0158597	Daenerys Targaryen	false
s00025	ch0155775	Viserys Targaryen	false
s00025	ch0158597	Daenerys Targaryen	false
s00025	ch0171388	Khal Drogo	false
s00025	ch0172909	Illyrio Mopatis	false
s00025	ch0246162	Qotho	false
s00026	ch0155775	Viserys Targaryen	false
s00026	ch0158597	Daenerys Targaryen	false
s00026	ch0172909	Illyrio Mopatis	false
s00027	ch0145135	Catelyn Stark	false
s00027	ch0158137	Sansa Stark	false
s00028	ch0145135	Catelyn Stark	false
s00028	ch0155776	Robert Baratheon	false
s00028	ch0159526	Cersei Lannister	false
s00028	ch0171391	Rodrik Cassel	false
s00029	ch0146096	Tyrion Lannister	false
s00029	ch0153996	Benjen Stark	false
s00029	ch0155777	Jon Snow	false
s00030	ch0145135	Catelyn Stark	false
s00030	ch0153996	Benjen Stark	false
s00030	ch0154681	Eddard Stark	false
s00030	ch0155776	Robert Baratheon	false
s00030	ch0156278	Joffrey Baratheon	false
s00030	ch0158137	Sansa Stark	false
s00030	ch0158526	Theon Greyjoy	false
s00030	ch0158527	Jaime Lannister	false
s00030	ch0158596	Robb Stark	false
s00030	ch0158604	Arya Stark	false
s00030	ch0159526	Cersei Lannister	false
s00030	ch0171391	Rodrik Cassel	false
s00031	ch0145135	Catelyn Stark	false
s00031	ch0154681	Eddard Stark	false
s00031	ch0171393	Maester Luwin	false
s00032	ch0155775	Viserys Targaryen	false
s00032	ch0158221	Jorah Mormont	false
s00032	ch0158597	Daenerys Targaryen	false
s00032	ch0171388	Khal Drogo	false
s00032	ch0172909	Illyrio Mopatis	false
s00032	ch0246162	Qotho	false
s00032	ui0000003	Drogon	false
s00032	ui0000016	Rhaegal	false
s00032	ui0000024	Viserion	false
s00033	ch0158597	Daenerys Targaryen	false
s00033	ch0171388	Khal Drogo	false
s00034	ch0146096	Tyrion Lannister	false
s00034	ch0153996	Benjen Stark	false
s00034	ch0154681	Eddard Stark	false
s00034	ch0155776	Robert Baratheon	false
s00034	ch0158526	Theon Greyjoy	false
s00034	ch0158596	Robb Stark	false
s00034	ch0162882	Sandor Clegane	false
s00034	ch0234897	Bran Stark	false
s00034	ui0000023	Summer	false
s00035	ch0158527	Jaime Lannister	false
s00035	ch0159526	Cersei Lannister	false
s00035	ch0234897	Bran Stark	false
s00035	ui0000023	Summer	false
s00036	ch0155775	Viserys Targaryen	false
s00036	ch0158221	Jorah Mormont	false
s00036	ch0158597	Daenerys Targaryen	false
s00036	ch0171388	Khal Drogo	false
s00036	ch0248504	Doreah	false
s00036	ch0249444	Irri	false
s00036	ch0305044	Jhiqui	false
s00037	ch0146096	Tyrion Lannister	false
s00037	ch0156278	Joffrey Baratheon	false
s00037	ch0162882	Sandor Clegane	false
s00038	ch0146096	Tyrion Lannister	false
s00038	ch0158527	Jaime Lannister	false
s00038	ch0159526	Cersei Lannister	false
s00038	ch0238585	Myrcella Baratheon	false
s00038	ch0256424	Tommen Baratheon	false
s00039	ch0145135	Catelyn Stark	false
s00039	ch0159526	Cersei Lannister	false
s00039	ch0234897	Bran Stark	false
s00040	ch0155777	Jon Snow	false
s00040	ch0158527	Jaime Lannister	false
s00041	ch0155777	Jon Snow	false
s00041	ch0158604	Arya Stark	false
s00041	ui0000014	Nymeria	false
s00042	ch0145135	Catelyn Stark	false
s00042	ch0154681	Eddard Stark	false
s00042	ch0155777	Jon Snow	false
s00042	ch0234897	Bran Stark	false
s00043	ch0155777	Jon Snow	false
s00043	ch0158596	Robb Stark	false
s00044	ch0146096	Tyrion Lannister	false
s00044	ch0153996	Benjen Stark	false
s00044	ch0154681	Eddard Stark	false
s00044	ch0155777	Jon Snow	false
s00045	ch0154681	Eddard Stark	false
s00045	ch0155776	Robert Baratheon	false
s00046	ch0158597	Daenerys Targaryen	false
s00046	ch0171388	Khal Drogo	false
s00046	ui0000003	Drogon	false
s00046	ui0000016	Rhaegal	false
s00046	ui0000024	Viserion	false
s00047	ch0146096	Tyrion Lannister	false
s00047	ch0153996	Benjen Stark	false
s00047	ch0155777	Jon Snow	false
s00047	ch0251498	Rast	false
s00047	ui0000005	Ghost	false
s00048	ch0145135	Catelyn Stark	false
s00048	ch0158596	Robb Stark	false
s00048	ch0171393	Maester Luwin	false
s00048	ch0234897	Bran Stark	false
s00048	ch0305046	Catspaw Assassin	true
s00048	ui0000023	Summer	false
s00049	ch0158597	Daenerys Targaryen	false
s00049	ch0248504	Doreah	false
s00049	ch0249444	Irri	false
s00049	ch0305044	Jhiqui	false
s00049	ui0000003	Drogon	false
s00049	ui0000016	Rhaegal	false
s00049	ui0000024	Viserion	false
s00050	ch0146096	Tyrion Lannister	false
s00050	ch0153996	Benjen Stark	false
s00050	ch0155777	Jon Snow	false
s00051	ch0145135	Catelyn Stark	false
s00052	ch0145135	Catelyn Stark	false
s00052	ch0158526	Theon Greyjoy	false
s00052	ch0158596	Robb Stark	false
s00052	ch0171391	Rodrik Cassel	false
s00052	ch0171393	Maester Luwin	false
s00053	ch0145135	Catelyn Stark	false
s00053	ch0234897	Bran Stark	false
s00054	ch0158597	Daenerys Targaryen	false
s00054	ch0248504	Doreah	false
s00055	ch0158597	Daenerys Targaryen	false
s00055	ch0171388	Khal Drogo	false
s00055	ui0000003	Drogon	false
s00055	ui0000016	Rhaegal	false
s00055	ui0000024	Viserion	false
s00056	ch0156278	Joffrey Baratheon	false
s00056	ch0158137	Sansa Stark	false
s00056	ch0162882	Sandor Clegane	false
s00056	ch0246254	Ilyn Payne	false
s00056	ui0000013	Lady	false
s00057	ch0156278	Joffrey Baratheon	false
s00057	ch0158137	Sansa Stark	false
s00057	ch0158604	Arya Stark	false
s00057	ch0305045	Mycah	false
s00057	ui0000014	Nymeria	false
s00058	ch0158604	Arya Stark	false
s00058	ui0000014	Nymeria	false
s00059	ch0154681	Eddard Stark	false
s00059	ch0245400	Jory Cassel	false
s00060	ch0154681	Eddard Stark	false
s00060	ch0155776	Robert Baratheon	false
s00060	ch0156278	Joffrey Baratheon	false
s00060	ch0158137	Sansa Stark	false
s00060	ch0158604	Arya Stark	false
s00060	ch0159526	Cersei Lannister	false
s00060	ch0245400	Jory Cassel	false
s00060	ch0246254	Ilyn Payne	false
s00061	ch0154681	Eddard Stark	false
s00061	ch0162882	Sandor Clegane	false
s00061	ch0305045	Mycah	true
s00062	ch0234897	Bran Stark	false
s00062	ui0000023	Summer	false
s00063	ch0154681	Eddard Stark	false
s00063	ui0000013	Lady	false
s00064	ch0234897	Bran Stark	false
s00064	ui0000023	Summer	false
s00065	ch0154681	Eddard Stark	false
s00065	ui0000013	Lady	true
s00066	ch0234897	Bran Stark	false
s00066	ui0000023	Summer	false
s00067	ch0154681	Eddard Stark	false
s00067	ch0158137	Sansa Stark	false
s00067	ch0158604	Arya Stark	false
s00067	ch0245400	Jory Cassel	false
s00067	ch0248505	Septa Mordane	false
s00067	ch0305048	Royal Steward	false
s00068	ch0154681	Eddard Stark	false
s00068	ch0158527	Jaime Lannister	false
s00069	ch0154681	Eddard Stark	false
s00069	ch0232836	Grand Maester Pycelle	false
s00069	ch0245982	Petyr Baelish	false
s00069	ch0246253	Renly Baratheon	false
s00069	ch0249636	Lord Varys	false
s00070	ch0156278	Joffrey Baratheon	false
s00070	ch0159526	Cersei Lannister	false
s00071	ch0154681	Eddard Stark	false
s00071	ch0158137	Sansa Stark	false
s00071	ch0158604	Arya Stark	false
s00071	ch0248505	Septa Mordane	false
s00072	ch0154681	Eddard Stark	false
s00072	ch0158604	Arya Stark	false
s00073	ch0158596	Robb Stark	false
s00073	ch0234897	Bran Stark	false
s00073	ch0305018	Old Nan	false
s00074	ch0145135	Catelyn Stark	false
s00074	ch0171391	Rodrik Cassel	false
s00074	ch0245982	Petyr Baelish	false
s00074	ch0249636	Lord Varys	false
s00075	ch0146096	Tyrion Lannister	false
s00075	ch0155777	Jon Snow	false
s00075	ch0246938	Alliser Thorne	false
s00075	ch0251492	Jeor Mormont	false
s00075	ch0251496	Grenn	false
s00075	ch0251498	Rast	false
s00075	ch0273477	Pypar	false
s00076	ch0154681	Eddard Stark	false
s00076	ch0232836	Grand Maester Pycelle	false
s00076	ch0245982	Petyr Baelish	false
s00077	ch0145135	Catelyn Stark	false
s00077	ch0154681	Eddard Stark	false
s00077	ch0245982	Petyr Baelish	false
s00078	ch0146096	Tyrion Lannister	false
s00078	ch0155777	Jon Snow	false
s00078	ch0251496	Grenn	false
s00078	ch0251498	Rast	false
s00078	ch0273477	Pypar	false
s00079	ch0145135	Catelyn Stark	false
s00079	ch0154681	Eddard Stark	false
s00079	ch0245982	Petyr Baelish	false
s00080	ch0158527	Jaime Lannister	false
s00080	ch0159526	Cersei Lannister	false
s00081	ch0145135	Catelyn Stark	false
s00081	ch0154681	Eddard Stark	false
s00081	ch0171391	Rodrik Cassel	false
s00081	ch0245400	Jory Cassel	false
s00082	ch0155776	Robert Baratheon	false
s00082	ch0158527	Jaime Lannister	false
s00082	ch0241346	Barristan Selmy	false
s00082	ch0376927	Lancel Lannister	false
s00083	ch0155775	Viserys Targaryen	false
s00083	ch0158221	Jorah Mormont	false
s00083	ch0158597	Daenerys Targaryen	false
s00083	ch0171388	Khal Drogo	false
s00083	ch0249444	Irri	false
s00083	ch0251495	Rakharo	false
s00084	ch0153996	Benjen Stark	false
s00084	ch0155777	Jon Snow	false
s00085	ch0146096	Tyrion Lannister	false
s00085	ch0153996	Benjen Stark	false
s00085	ch0251493	Yoren	false
s00086	ch0158597	Daenerys Targaryen	false
s00086	ch0249444	Irri	false
s00087	ch0158221	Jorah Mormont	false
s00087	ch0249444	Irri	false
s00087	ch0251495	Rakharo	false
s00088	ch0146096	Tyrion Lannister	false
s00088	ch0155777	Jon Snow	false
s00088	ch0246936	Maester Aemon	false
s00088	ch0251492	Jeor Mormont	false
s00088	ch0251496	Grenn	false
s00088	ch0251498	Rast	false
s00088	ch0273477	Pypar	false
s00089	ch0158597	Daenerys Targaryen	false
s00089	ch0171388	Khal Drogo	false
s00089	ui0000003	Drogon	false
s00089	ui0000016	Rhaegal	false
s00089	ui0000024	Viserion	false
s00090	ch0146096	Tyrion Lannister	false
s00090	ch0155777	Jon Snow	false
s00091	ch0154681	Eddard Stark	false
s00091	ch0158604	Arya Stark	false
s00091	ch0246934	Syrio Forel	false
s00092	ch0234897	Bran Stark	false
s00092	ch0414457	Three-Eyed Raven	false
s00093	ch0158526	Theon Greyjoy	false
s00093	ch0234897	Bran Stark	false
s00093	ch0238584	Hodor	false
s00093	ch0305018	Old Nan	false
s00093	ui0000023	Summer	false
s00094	ch0146096	Tyrion Lannister	false
s00094	ch0158526	Theon Greyjoy	false
s00094	ch0158596	Robb Stark	false
s00094	ch0171393	Maester Luwin	false
s00094	ch0234897	Bran Stark	false
s00094	ch0238584	Hodor	false
s00094	ch0251493	Yoren	false
s00094	ui0000006	Grey Wind	false
s00095	ch0146096	Tyrion Lannister	false
s00095	ch0158526	Theon Greyjoy	false
s00096	ch0155777	Jon Snow	false
s00096	ch0244961	Samwell Tarly	false
s00096	ch0246938	Alliser Thorne	false
s00096	ch0251496	Grenn	false
s00096	ch0251498	Rast	false
s00096	ch0273477	Pypar	false
s00097	ch0155775	Viserys Targaryen	false
s00097	ch0158221	Jorah Mormont	false
s00097	ch0158597	Daenerys Targaryen	false
s00097	ch0171388	Khal Drogo	false
s00098	ch0158221	Jorah Mormont	false
s00098	ch0158597	Daenerys Targaryen	false
s00099	ch0155775	Viserys Targaryen	false
s00099	ch0248504	Doreah	false
s00100	ch0158137	Sansa Stark	false
s00100	ch0248505	Septa Mordane	false
s00101	ch0154681	Eddard Stark	false
s00101	ch0232836	Grand Maester Pycelle	false
s00101	ch0245982	Petyr Baelish	false
s00101	ch0246253	Renly Baratheon	false
s00101	ch0249636	Lord Varys	false
s00101	ch0300651	Janos Slynt	false
s00102	ch0154681	Eddard Stark	false
s00102	ch0232836	Grand Maester Pycelle	false
s00103	ch0154681	Eddard Stark	false
s00103	ch0158604	Arya Stark	false
s00104	ch0155777	Jon Snow	false
s00104	ch0244961	Samwell Tarly	false
s00105	ch0154681	Eddard Stark	false
s00105	ch0245982	Petyr Baelish	false
s00106	ch0245400	Jory Cassel	false
s00106	ch0305026	Hugh of the Vale	false
s00107	ch0154681	Eddard Stark	false
s00107	ch0245400	Jory Cassel	false
s00108	ch0154681	Eddard Stark	false
s00108	ch0300040	Gendry	false
s00108	ch0305039	Tobho Mott	false
s00109	ch0154681	Eddard Stark	false
s00109	ch0245400	Jory Cassel	false
s00110	ch0158527	Jaime Lannister	false
s00110	ch0245400	Jory Cassel	false
s00111	ch0155777	Jon Snow	false
s00111	ch0251496	Grenn	false
s00111	ch0251498	Rast	false
s00111	ch0273477	Pypar	false
s00112	ch0155777	Jon Snow	false
s00112	ch0251496	Grenn	false
s00112	ch0251498	Rast	false
s00112	ch0273477	Pypar	false
s00112	ui0000005	Ghost	false
s00113	ch0155777	Jon Snow	false
s00113	ch0244961	Samwell Tarly	false
s00113	ch0246938	Alliser Thorne	false
s00113	ch0251496	Grenn	false
s00113	ch0251498	Rast	false
s00113	ch0273477	Pypar	false
s00114	ch0155775	Viserys Targaryen	false
s00114	ch0158597	Daenerys Targaryen	false
s00114	ch0248504	Doreah	false
s00114	ch0249444	Irri	false
s00115	ch0155777	Jon Snow	false
s00115	ch0244961	Samwell Tarly	false
s00115	ch0246938	Alliser Thorne	false
s00116	ch0158221	Jorah Mormont	false
s00116	ch0158597	Daenerys Targaryen	false
s00117	ch0155776	Robert Baratheon	false
s00117	ch0156278	Joffrey Baratheon	false
s00117	ch0158137	Sansa Stark	false
s00117	ch0158604	Arya Stark	false
s00117	ch0159526	Cersei Lannister	false
s00117	ch0162882	Sandor Clegane	false
s00117	ch0238585	Myrcella Baratheon	false
s00117	ch0241346	Barristan Selmy	false
s00117	ch0245401	Gregor Clegane	false
s00117	ch0245982	Petyr Baelish	false
s00117	ch0246253	Renly Baratheon	false
s00117	ch0248505	Septa Mordane	false
s00117	ch0256424	Tommen Baratheon	false
s00117	ch0305026	Hugh of the Vale	true
s00118	ch0154681	Eddard Stark	false
s00118	ch0159526	Cersei Lannister	false
s00118	ch0245400	Jory Cassel	false
s00119	ch0145135	Catelyn Stark	false
s00119	ch0146096	Tyrion Lannister	false
s00119	ch0171391	Rodrik Cassel	false
s00119	ch0241345	Bronn	false
s00119	ch0251493	Yoren	false
s00119	ch0305001	Marillion	false
s00120	ch0154681	Eddard Stark	false
s00121	ch0154681	Eddard Stark	false
s00121	ch0241346	Barristan Selmy	false
s00121	ch0305026	Hugh of the Vale	false
s00122	ch0154681	Eddard Stark	false
s00122	ch0241346	Barristan Selmy	false
s00123	ch0154681	Eddard Stark	false
s00123	ch0155776	Robert Baratheon	false
s00123	ch0376927	Lancel Lannister	false
s00124	ch0154681	Eddard Stark	false
s00124	ch0155776	Robert Baratheon	false
s00124	ch0156278	Joffrey Baratheon	false
s00124	ch0158137	Sansa Stark	false
s00124	ch0162882	Sandor Clegane	false
s00124	ch0231428	Loras Tyrell	false
s00124	ch0232836	Grand Maester Pycelle	false
s00124	ch0238585	Myrcella Baratheon	false
s00124	ch0241346	Barristan Selmy	false
s00124	ch0245401	Gregor Clegane	false
s00124	ch0245982	Petyr Baelish	false
s00124	ch0246253	Renly Baratheon	false
s00124	ch0248505	Septa Mordane	false
s00124	ch0256424	Tommen Baratheon	false
s00125	ch0145135	Catelyn Stark	false
s00125	ch0146096	Tyrion Lannister	false
s00125	ch0171391	Rodrik Cassel	false
s00125	ch0241345	Bronn	false
s00125	ch0305001	Marillion	false
s00126	ch0158526	Theon Greyjoy	false
s00126	ch0171393	Maester Luwin	false
s00126	ch0234897	Bran Stark	false
s00127	ch0010187	Ros	false
s00127	ch0158526	Theon Greyjoy	false
s00128	ch0158604	Arya Stark	false
s00129	ch0154681	Eddard Stark	false
s00129	ch0245400	Jory Cassel	false
s00129	ch0249636	Lord Varys	false
s00130	ch0158604	Arya Stark	false
s00130	ch0172909	Illyrio Mopatis	false
s00130	ch0249636	Lord Varys	false
s00131	ch0245982	Petyr Baelish	false
s00131	ch0246253	Renly Baratheon	false
s00131	ch0249636	Lord Varys	false
s00132	ch0158604	Arya Stark	false
s00133	ch0154681	Eddard Stark	false
s00133	ch0158604	Arya Stark	false
s00133	ch0245400	Jory Cassel	false
s00133	ch0251493	Yoren	false
s00134	ch0158604	Arya Stark	false
s00134	ch0245400	Jory Cassel	false
s00135	ch0154681	Eddard Stark	false
s00135	ch0251493	Yoren	false
s00136	ch0145135	Catelyn Stark	false
s00136	ch0146096	Tyrion Lannister	false
s00136	ch0171391	Rodrik Cassel	false
s00136	ch0241345	Bronn	false
s00136	ch0294458	Vardis Egen	false
s00137	ch0154681	Eddard Stark	false
s00137	ch0305048	Royal Steward	false
s00138	ch0154681	Eddard Stark	false
s00138	ch0155776	Robert Baratheon	false
s00138	ch0232836	Grand Maester Pycelle	false
s00138	ch0245982	Petyr Baelish	false
s00138	ch0246253	Renly Baratheon	false
s00138	ch0249636	Lord Varys	false
s00139	ch0154681	Eddard Stark	false
s00140	ch0154681	Eddard Stark	false
s00140	ch0245400	Jory Cassel	false
s00140	ch0245982	Petyr Baelish	false
s00141	ch0145135	Catelyn Stark	false
s00141	ch0146096	Tyrion Lannister	false
s00141	ch0251736	Lysa Arryn	false
s00141	ch0294458	Vardis Egen	false
s00141	ch0300949	Robin Arryn	false
s00142	ch0146096	Tyrion Lannister	false
s00142	ch0229099	Mord	false
s00143	ch0231428	Loras Tyrell	false
s00143	ch0246253	Renly Baratheon	false
s00144	ch0155776	Robert Baratheon	false
s00144	ch0159526	Cersei Lannister	false
s00145	ch0154681	Eddard Stark	false
s00145	ch0305038	Mhaegen	false
s00146	ch0154681	Eddard Stark	false
s00146	ch0245400	Jory Cassel	false
s00146	ch0245982	Petyr Baelish	false
s00147	ch0154681	Eddard Stark	false
s00147	ch0158527	Jaime Lannister	false
s00147	ch0245400	Jory Cassel	true
s00147	ch0245982	Petyr Baelish	false
s00148	ch0154681	Eddard Stark	false
s00148	ch0155776	Robert Baratheon	false
s00148	ch0159526	Cersei Lannister	false
s00149	ch0158597	Daenerys Targaryen	false
s00149	ch0249444	Irri	false
s00149	ui0000003	Drogon	false
s00149	ui0000016	Rhaegal	false
s00149	ui0000024	Viserion	false
s00150	ch0234897	Bran Stark	false
s00150	ch0414457	Three-Eyed Raven	false
s00151	ch0234897	Bran Stark	false
s00151	ch0238584	Hodor	false
s00152	ch0158526	Theon Greyjoy	false
s00152	ch0158596	Robb Stark	false
s00152	ch0234897	Bran Stark	false
s00153	ch0158526	Theon Greyjoy	false
s00153	ch0158596	Robb Stark	false
s00153	ch0234897	Bran Stark	false
s00153	ch0295802	Osha	false
s00153	ch0304972	Stiv	true
s00153	ui0000025	Wallen	true
s00154	ch0146096	Tyrion Lannister	false
s00154	ch0229099	Mord	false
s00155	ch0158604	Arya Stark	false
s00155	ch0246934	Syrio Forel	false
s00156	ch0155775	Viserys Targaryen	false
s00156	ch0158221	Jorah Mormont	false
s00156	ch0158597	Daenerys Targaryen	false
s00156	ch0171388	Khal Drogo	false
s00156	ch0248504	Doreah	false
s00156	ch0249444	Irri	false
s00156	ui0000018	Rhaego	false
s00157	ch0155775	Viserys Targaryen	false
s00157	ch0158221	Jorah Mormont	false
s00157	ui0000003	Drogon	false
s00157	ui0000016	Rhaegal	false
s00157	ui0000024	Viserion	false
s00158	ch0146096	Tyrion Lannister	false
s00158	ch0229099	Mord	false
s00159	ch0145135	Catelyn Stark	false
s00159	ch0146096	Tyrion Lannister	false
s00159	ch0171391	Rodrik Cassel	false
s00159	ch0241345	Bronn	false
s00159	ch0251736	Lysa Arryn	false
s00159	ch0294458	Vardis Egen	false
s00159	ch0300949	Robin Arryn	false
s00160	ch0155776	Robert Baratheon	false
s00160	ch0241346	Barristan Selmy	false
s00160	ch0246253	Renly Baratheon	false
s00160	ch0376927	Lancel Lannister	false
s00161	ch0154681	Eddard Stark	false
s00161	ch0232836	Grand Maester Pycelle	false
s00161	ch0245982	Petyr Baelish	false
s00161	ch0305320	Beric Dondarrion	false
s00161	ui0000108	Joss	false
s00162	ch0145135	Catelyn Stark	false
s00162	ch0146096	Tyrion Lannister	false
s00162	ch0171391	Rodrik Cassel	false
s00162	ch0229099	Mord	false
s00162	ch0241345	Bronn	false
s00162	ch0251736	Lysa Arryn	false
s00162	ch0294458	Vardis Egen	true
s00162	ch0300949	Robin Arryn	false
s00163	ch0156278	Joffrey Baratheon	false
s00163	ch0158137	Sansa Stark	false
s00163	ch0248505	Septa Mordane	false
s00164	ch0010187	Ros	false
s00164	ch0158526	Theon Greyjoy	false
s00165	ch0154681	Eddard Stark	false
s00165	ch0158137	Sansa Stark	false
s00165	ch0158604	Arya Stark	false
s00166	ch0155775	Viserys Targaryen	true
s00166	ch0158221	Jorah Mormont	false
s00166	ch0158597	Daenerys Targaryen	false
s00166	ch0171388	Khal Drogo	false
s00166	ch0246162	Qotho	false
s00166	ch0248504	Doreah	false
s00166	ch0249444	Irri	false
s00167	ch0158527	Jaime Lannister	false
s00167	ch0242185	Tywin Lannister	false
s00168	ch0154681	Eddard Stark	false
s00168	ch0159526	Cersei Lannister	false
s00169	ch0010187	Ros	false
s00169	ch0245982	Petyr Baelish	false
s00169	ch0305014	Armeca	false
s00170	ch0158526	Theon Greyjoy	false
s00170	ch0171393	Maester Luwin	false
s00170	ch0295802	Osha	false
s00171	ch0155777	Jon Snow	false
s00171	ch0244961	Samwell Tarly	false
s00172	ch0155777	Jon Snow	false
s00172	ch0244961	Samwell Tarly	false
s00172	ch0251492	Jeor Mormont	false
s00173	ch0154681	Eddard Stark	false
s00173	ch0246253	Renly Baratheon	false
s00174	ch0154681	Eddard Stark	false
s00174	ch0155776	Robert Baratheon	false
s00174	ch0156278	Joffrey Baratheon	false
s00174	ch0159526	Cersei Lannister	false
s00174	ch0232836	Grand Maester Pycelle	false
s00174	ch0241346	Barristan Selmy	false
s00174	ch0246253	Renly Baratheon	false
s00175	ch0154681	Eddard Stark	false
s00175	ch0232836	Grand Maester Pycelle	false
s00175	ch0241346	Barristan Selmy	false
s00175	ch0246253	Renly Baratheon	false
s00175	ch0249636	Lord Varys	false
s00176	ch0158597	Daenerys Targaryen	false
s00176	ch0171388	Khal Drogo	false
s00177	ch0158221	Jorah Mormont	false
s00177	ch0158597	Daenerys Targaryen	false
s00177	ch0248504	Doreah	false
s00177	ch0249444	Irri	false
s00177	ch0251495	Rakharo	false
s00178	ch0158221	Jorah Mormont	false
s00178	ch0305326	Little Bird	false
s00179	ch0158221	Jorah Mormont	false
s00179	ch0158597	Daenerys Targaryen	false
s00179	ch0248504	Doreah	false
s00179	ch0249444	Irri	false
s00179	ch0251495	Rakharo	false
s00179	ch0305323	Wine Merchant	false
s00180	ch0155777	Jon Snow	false
s00180	ch0244961	Samwell Tarly	false
s00180	ch0246936	Maester Aemon	false
s00180	ch0246938	Alliser Thorne	false
s00180	ch0251492	Jeor Mormont	false
s00180	ch0251496	Grenn	false
s00180	ch0251498	Rast	false
s00180	ch0273477	Pypar	false
s00180	ch0305003	Othell Yarwyck	false
s00180	ch0305324	Jaremy Rykker	false
s00181	ch0155777	Jon Snow	false
s00181	ch0244961	Samwell Tarly	false
s00181	ch0273477	Pypar	false
s00182	ch0154681	Eddard Stark	false
s00182	ch0246253	Renly Baratheon	false
s00183	ch0154681	Eddard Stark	false
s00183	ch0245982	Petyr Baelish	false
s00183	ch0305325	Tomard	false
s00184	ch0155777	Jon Snow	false
s00184	ch0244961	Samwell Tarly	false
s00184	ch0305003	Othell Yarwyck	false
s00184	ui0000005	Ghost	false
s00185	ch0155777	Jon Snow	false
s00185	ch0244961	Samwell Tarly	false
s00185	ch0305003	Othell Yarwyck	false
s00185	ui0000005	Ghost	false
s00186	ch0158221	Jorah Mormont	false
s00186	ch0158597	Daenerys Targaryen	false
s00186	ch0171388	Khal Drogo	false
s00186	ch0251495	Rakharo	false
s00186	ch0305323	Wine Merchant	false
s00187	ch0158221	Jorah Mormont	false
